X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,class
0.281124498,0.41231593,0.306559572,0.333333333,0.366800535,0.299866131,0.548862115,0.174029451,0.277108434,0.382864793,0.287817938,0.329317269,0.520749665,0.366800535,0.112449799,0.404283802,0.311914324,0.283801874,0.310575636,0.210174029,0.479250335,0.414993307,0.333333333,0.25167336,0.329317269,0.361445783,0.309236948,0.323962517,0.424364123,0.25167336,0.115127175,0.789825971,0.095046854,0.485943775,0.238286479,0.275769746,0.480589023,0.281124498,0.238286479,0
0.230994152,0.315789474,0.453216374,0.301169591,0.333333333,0.365497076,0.418128655,0.233918129,0.347953216,0.350877193,0.160818713,0.488304094,0.429824561,0.350877193,0.219298246,0.333333333,0.230994152,0.435672515,0.236842105,0.192982456,0.570175439,0.315789474,0.412280702,0.271929825,0.488304094,0.254385965,0.257309942,0.239766082,0.488304094,0.271929825,0.087719298,0.859649123,0.052631579,0.362573099,0.423976608,0.213450292,0.520467836,0.230994152,0.248538012,0
0.342266462,0.38820827,0.269525268,0.437212864,0.294027565,0.268759571,0.54517611,0.196018377,0.258805513,0.519908116,0.172281776,0.307810107,0.601071975,0.279479326,0.119448698,0.470137825,0.270290965,0.25957121,0.358346095,0.242725881,0.398928025,0.39280245,0.36676876,0.24042879,0.307810107,0.318529862,0.373660031,0.314701378,0.444869832,0.24042879,0.105666156,0.764931087,0.129402757,0.405053599,0.296324655,0.298621746,0.355283308,0.342266462,0.30245023,0
0.278982797,0.445026178,0.275991025,0.457741212,0.270007479,0.272251309,0.569932685,0.172026926,0.258040389,0.491398654,0.192221391,0.316379955,0.602094241,0.275991025,0.121914734,0.400149589,0.338070307,0.261780105,0.318623785,0.283470456,0.397905759,0.449513837,0.352281227,0.198204936,0.316379955,0.385190726,0.298429319,0.372475692,0.429319372,0.198204936,0.08302169,0.810022438,0.106955871,0.332834705,0.335078534,0.332086761,0.402393418,0.278982797,0.318623785,0
0.364705882,0.368067227,0.267226891,0.440336134,0.302521008,0.257142857,0.56302521,0.194957983,0.242016807,0.472268908,0.218487395,0.309243697,0.610084034,0.282352941,0.107563025,0.477310924,0.270588235,0.25210084,0.388235294,0.221848739,0.389915966,0.359663866,0.376470588,0.263865546,0.309243697,0.295798319,0.394957983,0.307563025,0.428571429,0.263865546,0.129411765,0.742857143,0.127731092,0.447058824,0.268907563,0.284033613,0.379831933,0.364705882,0.255462185,0
0.354191263,0.316410862,0.329397875,0.370720189,0.324675325,0.304604486,0.506493506,0.203069658,0.290436836,0.428571429,0.200708383,0.370720189,0.537190083,0.328217237,0.13459268,0.455726092,0.229043684,0.315230224,0.3364817,0.200708383,0.462809917,0.323494687,0.395513577,0.280991736,0.370720189,0.252656434,0.376623377,0.277449823,0.441558442,0.280991736,0.128689492,0.739079103,0.132231405,0.451003542,0.291617473,0.257378985,0.428571429,0.354191263,0.217237308,0
0.307053942,0.373443983,0.319502075,0.439834025,0.307053942,0.253112033,0.560165975,0.190871369,0.248962656,0.456431535,0.20746888,0.336099585,0.556016598,0.307053942,0.136929461,0.377593361,0.307053942,0.315352697,0.356846473,0.199170124,0.443983402,0.390041494,0.402489627,0.20746888,0.336099585,0.336099585,0.32780083,0.34439834,0.44813278,0.20746888,0.082987552,0.771784232,0.145228216,0.460580913,0.286307054,0.253112033,0.439834025,0.307053942,0.253112033,0
0.326784545,0.359528487,0.313686968,0.402750491,0.303863785,0.293385724,0.550098232,0.169613621,0.280288147,0.433529797,0.229207597,0.337262606,0.560576293,0.317616241,0.121807466,0.441388343,0.258022266,0.300589391,0.328094303,0.232481991,0.439423707,0.388998035,0.396201703,0.214800262,0.337262606,0.307793058,0.354944335,0.297314997,0.487884741,0.214800262,0.094957433,0.791093648,0.113948919,0.456450557,0.247544204,0.296005239,0.432220039,0.326784545,0.240995416,0
0.333683106,0.348373557,0.317943337,0.395592865,0.327387198,0.277019937,0.517313746,0.210912907,0.271773347,0.453305352,0.198321091,0.348373557,0.545645331,0.33683106,0.11752361,0.430220357,0.257082896,0.312696747,0.345225603,0.200419727,0.454354669,0.371458552,0.400839454,0.227701994,0.348373557,0.29590766,0.355718783,0.308499475,0.463798531,0.227701994,0.105981112,0.754459601,0.139559286,0.470094439,0.263378804,0.266526758,0.431269675,0.333683106,0.235047219,0
0.222222222,0.5,0.277777778,0.222222222,0.333333333,0.444444444,0.333333333,0.277777778,0.388888889,0.5,0.111111111,0.388888889,0.611111111,0.166666667,0.222222222,0.5,0.277777778,0.222222222,0.333333333,0.277777778,0.388888889,0.5,0.055555556,0.444444444,0.388888889,0.388888889,0.222222222,0.222222222,0.333333333,0.444444444,0.222222222,0.777777778,0,0.277777778,0.388888889,0.333333333,0.333333333,0.222222222,0.444444444,0
0.323076923,0.4,0.276923077,0.384615385,0.357692308,0.257692308,0.557692308,0.192307692,0.25,0.434615385,0.261538462,0.303846154,0.588461538,0.319230769,0.092307692,0.423076923,0.307692308,0.269230769,0.357692308,0.230769231,0.411538462,0.438461538,0.303846154,0.257692308,0.303846154,0.357692308,0.338461538,0.369230769,0.373076923,0.257692308,0.146153846,0.738461538,0.115384615,0.446153846,0.257692308,0.296153846,0.430769231,0.323076923,0.246153846,0
